Bunny ID,GRID,XYZ,Date XYZ On,XYZ Schedule,Time XYZ On,GPS ,Date GPS On,Time GPS On,GPS Schedule,GPS Delay,Frequency,Date on Bunny,Time on Bunny,Date Off Bunny,Time off Bunny,Date GPS OFF,Time GPS Off,GPS Dump?,Date XYZ Off,SigA Start,SigA End,SigB Start,SigB End,Time XYZ Off,XYZ Dump,Last Record Date,Notes
24498,Kloo,EH,15-Feb-19,1,19:03:15,AC,15-Feb-19,19:02:50,15,,149.589,20-Feb-19,17:15,13-Mar-19,1:05,13-Mar-19,1:52,,13-Mar-19,,,,,1:58,,13-Mar-19,axy worked well
25029,Kloo,HF Alb,16-Feb-19,1,20:49:29,19,16-Feb-19,20:50:56,15,,149.29,17-Feb-19,0:58,10-Mar-19,23:24,10-Mar-19,1:15,,11-Mar-19,,,,,0:27,,11-Mar-19,axy worked well
Not Deployed,,YE,16-Feb-19,1,20:49:48,44,16-Feb-19,20:51:25,15,,149.22,,,,,,,,,,,,,,,,
25279,Jo,CG,16-Feb-19,1,20:50:10,MT,16-Feb-19,20:51:51,15,,149.82,18-Feb-19,0:24,23-Feb-19,11:30,23-Feb-19,15:02,,23-Feb-19,,,,,15:04,,23-Feb-19,axy worked well
Not Deployed,,HA,16-Feb-19,1,20:50:28,HB,16-Feb-19,20:52:10,15,,149.69,,,,,,,,,,,,,,,,
24523,Kloo,EA,19-Feb-19,1,21:12:19,AZ,19-Feb-19,21:12:45,15,,149.829,20-Feb-19,17:00,14-Apr-19,11:30,20-Mar-19,already off,,14-Apr-19,,,,,by 13:00,,14-Apr-19,axy worked well
24693,Jo,BO,19-Feb-19,1,21:13:08,MP,19-Feb-19,21:13:32,15,,149.24,21-Feb-19,18:40,19-Mar-19,16:30,17-Mar-19,already off,,,,,,,,,,axy data can't be donloaded…doesn't turn on
25689,Rolo,JJ,19-Feb-19,1,21:13:54,AX,19-Feb-19,21:14:11,15,,149.32,21-Feb-19,18:40,24-Feb-19,by 16:30:00,24-Feb-19,21:25,,24-Feb-19,,,,,21:30,,24-Feb-19,axy worked well
24404,Rolo,YE,20-Feb-19,1,17:41:57,NH,20-Feb-19,17:42:15,15,,149.01,22-Feb-19,21:10,24-Feb-19,by 16:30:00,24-Feb-19,21:25,,24-Feb-19,,,,,21:28,,24-Feb-19,axy worked well
Not Deployed,,HA,20-Feb-19,1,17:42:36,44,20-Feb-19,17:42:58,15,,149.22,,,,,,,,,,,,,,,,
24653,Kloo,ZI,20-Feb-19,1,17:43:13,HB,20-Feb-19,17:43:35,15,,149.69,22-Feb-19,20:55,10-Mar-19,23:40,10-Mar-19,1:15,,11-Mar-19,,,,,0:34,,11-Mar-19,axy worked well
